StockCode,Total_Quantity,lag_7,lag_14,lag_28,rolling_mean_7,rolling_mean_14,rolling_mean_28,Year,Month,Week,Day_of_week
20725,134,100.0,15.0,78.0,71.0,41.285714285714285,44.57142857142857,2011,1,2,3
22113,27,16.0,45.0,64.0,18.285714285714285,18.428571428571427,27.428571428571427,2011,1,2,3
22423,68,21.0,104.0,115.0,52.57142857142857,49.42857142857143,88.25,2011,1,2,3
22834,147,227.0,196.0,42.0,54.57142857142857,74.21428571428571,139.75,2011,1,2,3
22988,12,4.0,169.0,29.0,37.857142857142854,43.714285714285715,48.0,2011,1,2,3
84692,2,8.0,3.0,54.0,65.71428571428571,51.285714285714285,49.107142857142854,2011,1,2,3
85123A,8,304.0,58.0,454.0,587.7142857142857,319.85714285714283,283.32142857142856,2011,1,2,3
20724,242,56.0,26.0,4.0,52.857142857142854,43.42857142857143,41.67857142857143,2011,1,2,4
20725,341,294.0,2.0,11.0,75.85714285714286,49.785714285714285,46.57142857142857,2011,1,2,4
21181,15,5.0,12.0,14.0,35.142857142857146,31.428571428571427,55.357142857142854,2011,1,2,4
21485,8,10.0,32.0,62.0,18.285714285714285,21.071428571428573,28.928571428571427,2011,1,2,4
21733,46,7.0,12.0,82.0,152.85714285714286,85.0,66.35714285714286,2011,1,2,4
21754,10,9.0,21.0,22.0,10.857142857142858,13.571428571428571,16.571428571428573,2011,1,2,4
21870,12,1.0,3.0,25.0,11.857142857142858,10.5,20.785714285714285,2011,1,2,4
22077,3,155.0,42.0,22.0,38.0,26.785714285714285,36.75,2011,1,2,4
22111,13,28.0,79.0,46.0,27.428571428571427,34.07142857142857,41.17857142857143,2011,1,2,4
22113,17,4.0,15.0,15.0,19.857142857142858,17.142857142857142,26.107142857142858,2011,1,2,4
22197,34,736.0,272.0,271.0,123.0,101.28571428571429,129.42857142857142,2011,1,2,4
22355,192,120.0,46.0,65.0,58.285714285714285,73.71428571428571,85.71428571428571,2011,1,2,4
22379,11,119.0,1.0,40.0,31.142857142857142,62.285714285714285,45.642857142857146,2011,1,2,4
22423,187,85.0,16.0,184.0,59.285714285714285,46.857142857142854,86.57142857142857,2011,1,2,4
22457,40,124.0,16.0,38.0,44.142857142857146,35.57142857142857,36.714285714285715,2011,1,2,4
22469,18,62.0,48.0,111.0,237.0,152.57142857142858,131.53571428571428,2011,1,2,4
22470,10,34.0,30.0,47.0,201.14285714285714,110.42857142857143,90.82142857142857,2011,1,2,4
22666,48,3.0,5.0,28.0,11.142857142857142,10.428571428571429,18.892857142857142,2011,1,2,4
22727,9,12.0,9.0,47.0,14.714285714285714,14.214285714285714,22.821428571428573,2011,1,2,4
22728,8,7.0,24.0,37.0,7.571428571428571,9.214285714285714,14.214285714285714,2011,1,2,4
22766,98,16.0,1.0,9.0,11.428571428571429,8.142857142857142,8.714285714285714,2011,1,2,4
22834,54,13.0,52.0,29.0,43.142857142857146,70.71428571428571,143.5,2011,1,2,4
22960,109,23.0,53.0,65.0,18.857142857142858,16.857142857142858,26.464285714285715,2011,1,2,4
22961,502,32.0,142.0,151.0,27.857142857142858,40.142857142857146,69.21428571428571,2011,1,2,4
22988,12,145.0,60.0,102.0,39.0,32.5,47.392857142857146,2011,1,2,4
84029G,6,2.0,89.0,59.0,18.857142857142858,39.714285714285715,49.92857142857143,2011,1,2,4
84692,9,68.0,6.0,52.0,64.85714285714286,51.214285714285715,47.25,2011,1,2,4
84991,30,81.0,1.0,78.0,39.714285714285715,65.85714285714286,67.78571428571429,2011,1,2,4
85099B,120,354.0,45.0,556.0,143.71428571428572,121.07142857142857,129.28571428571428,2011,1,2,4
85123A,89,171.0,42.0,309.0,545.4285714285714,316.2857142857143,267.39285714285717,2011,1,2,4
20724,10,131.0,22.0,21.0,79.42857142857143,58.857142857142854,50.17857142857143,2011,1,2,6
20725,112,25.0,12.0,93.0,82.57142857142857,74.0,58.357142857142854,2011,1,2,6
20728,10,15.0,1.0,22.0,37.142857142857146,29.071428571428573,31.785714285714285,2011,1,2,6
21175,7,13.0,8.0,5.0,314.7142857142857,169.14285714285714,95.21428571428571,2011,1,2,6
21181,3,60.0,12.0,38.0,36.57142857142857,31.642857142857142,55.392857142857146,2011,1,2,6
21485,4,13.0,10.0,3.0,18.0,19.357142857142858,27.0,2011,1,2,6
21733,9,51.0,4.0,24.0,158.42857142857142,87.42857142857143,65.07142857142857,2011,1,2,6
21754,1,6.0,6.0,17.0,11.0,12.785714285714286,16.142857142857142,2011,1,2,6
21870,6,26.0,30.0,13.0,13.428571428571429,11.142857142857142,20.321428571428573,2011,1,2,6
21931,14,20.0,3.0,54.0,61.857142857142854,47.714285714285715,42.42857142857143,2011,1,2,6
22113,6,6.0,1.0,12.0,21.714285714285715,17.285714285714285,26.178571428571427,2011,1,2,6
22197,230,36.0,7.0,74.0,22.714285714285715,84.28571428571429,120.96428571428571,2011,1,2,6
22355,24,11.0,46.0,10.0,68.57142857142857,84.14285714285714,90.25,2011,1,2,6
22371,1,6.0,10.0,8.0,4.285714285714286,4.642857142857143,5.5,2011,1,2,6
22379,10,4.0,15.0,12.0,15.714285714285714,63.0,44.607142857142854,2011,1,2,6
22423,9,87.0,84.0,231.0,73.85714285714286,59.07142857142857,86.67857142857143,2011,1,2,6
22457,10,12.0,26.0,28.0,32.142857142857146,37.285714285714285,36.785714285714285,2011,1,2,6
22469,37,52.0,96.0,92.0,230.71428571428572,150.42857142857142,128.21428571428572,2011,1,2,6
22470,36,24.0,41.0,15.0,197.71428571428572,109.0,89.5,2011,1,2,6
22558,6,28.0,24.0,78.0,64.42857142857143,53.5,59.07142857142857,2011,1,2,6
22630,6,1.0,23.0,3.0,70.28571428571429,41.5,36.285714285714285,2011,1,2,6
22666,8,21.0,3.0,13.0,17.571428571428573,13.5,19.607142857142858,2011,1,2,6
22667,2,1.0,2.0,25.0,9.857142857142858,9.0,13.178571428571429,2011,1,2,6
22727,2,36.0,3.0,88.0,14.285714285714286,14.214285714285714,21.464285714285715,2011,1,2,6
22766,8,16.0,6.0,10.0,23.142857142857142,15.071428571428571,11.892857142857142,2011,1,2,6
22900,24,7.0,25.0,42.0,6.0,7.142857142857143,12.464285714285714,2011,1,2,6
22960,13,24.0,8.0,38.0,31.142857142857142,20.857142857142858,28.035714285714285,2011,1,2,6
22961,58,16.0,17.0,200.0,95.0,65.85714285714286,81.75,2011,1,2,6
22988,24,4.0,64.0,2.0,20.0,29.071428571428573,44.17857142857143,2011,1,2,6
79321,36,192.0,29.0,275.0,63.57142857142857,84.64285714285714,95.07142857142857,2011,1,2,6
82494L,1,25.0,70.0,39.0,22.0,26.071428571428573,31.321428571428573,2011,1,2,6
84029G,2,36.0,18.0,134.0,19.428571428571427,33.785714285714285,48.035714285714285,2011,1,2,6
84879,4,24.0,40.0,224.0,72.85714285714286,70.71428571428571,116.60714285714286,2011,1,2,6
84991,120,24.0,1.0,168.0,32.42857142857143,67.92857142857143,66.07142857142857,2011,1,2,6
85099B,10,514.0,1.0,48.0,110.28571428571429,126.42857142857143,113.71428571428571,2011,1,2,6
85123A,23,334.0,85.0,25.0,533.7142857142857,319.64285714285717,259.5357142857143,2011,1,2,6
85152,1,19.0,5.0,37.0,6.571428571428571,8.0,27.928571428571427,2011,1,2,6
20718,11,10.0,11.0,1.0,25.571428571428573,17.857142857142858,17.5,2011,1,3,0
20724,13,50.0,135.0,39.0,62.142857142857146,58.0,49.785714285714285,2011,1,3,0
20725,6,23.0,21.0,36.0,95.0,81.14285714285714,59.035714285714285,2011,1,3,0
20727,19,40.0,3.0,145.0,31.571428571428573,26.857142857142858,31.142857142857142,2011,1,3,0
20754,5,4.0,5.0,8.0,4.857142857142857,5.785714285714286,7.892857142857143,2011,1,3,0
20914,3,10.0,6.0,136.0,56.57142857142857,39.42857142857143,36.464285714285715,2011,1,3,0
21080,39,32.0,25.0,133.0,35.714285714285715,39.214285714285715,48.214285714285715,2011,1,3,0
21166,32,26.0,4.0,27.0,24.285714285714285,20.357142857142858,30.035714285714285,2011,1,3,0
21175,10,70.0,12.0,12.0,313.85714285714283,169.07142857142858,95.28571428571429,2011,1,3,0
21181,45,74.0,38.0,16.0,28.428571428571427,31.0,54.142857142857146,2011,1,3,0
21212,2,171.0,991.0,241.0,116.14285714285714,164.64285714285714,180.28571428571428,2011,1,3,0
21485,23,27.0,43.0,20.0,16.714285714285715,18.928571428571427,27.035714285714285,2011,1,3,0
21733,22,67.0,38.0,50.0,152.42857142857142,87.78571428571429,64.53571428571429,2011,1,3,0
21754,19,7.0,3.0,1.0,10.285714285714286,12.428571428571429,15.571428571428571,2011,1,3,0
21755,10,9.0,8.0,16.0,12.857142857142858,13.5,11.25,2011,1,3,0
21843,9,5.0,12.0,2.0,4.714285714285714,5.071428571428571,8.892857142857142,2011,1,3,0
21870,4,29.0,2.0,8.0,10.571428571428571,9.428571428571429,20.071428571428573,2011,1,3,0
21929,22,131.0,2.0,31.0,35.857142857142854,36.285714285714285,37.17857142857143,2011,1,3,0
21931,11,36.0,24.0,14.0,61.0,48.5,41.0,2011,1,3,0
22077,56,10.0,12.0,73.0,16.285714285714285,24.0,36.07142857142857,2011,1,3,0
22111,14,3.0,10.0,18.0,25.285714285714285,29.357142857142858,40.0,2011,1,3,0
22112,13,24.0,22.0,24.0,14.714285714285714,25.357142857142858,47.607142857142854,2011,1,3,0
22113,8,19.0,10.0,23.0,21.714285714285715,17.642857142857142,25.964285714285715,2011,1,3,0
22195,52,3.0,1.0,34.0,5.285714285714286,8.285714285714286,12.714285714285714,2011,1,3,0
22196,42,5.0,3.0,26.0,13.285714285714286,12.714285714285714,15.642857142857142,2011,1,3,0
22197,41,9.0,169.0,67.0,50.42857142857143,100.21428571428571,126.53571428571429,2011,1,3,0
22198,15,64.0,34.0,105.0,11.428571428571429,19.5,35.32142857142857,2011,1,3,0
22326,6,42.0,38.0,35.0,35.285714285714285,38.0,28.75,2011,1,3,0
22355,6,31.0,397.0,122.0,70.42857142857143,82.57142857142857,90.75,2011,1,3,0
22356,113,15.0,24.0,15.0,36.42857142857143,33.785714285714285,33.714285714285715,2011,1,3,0
22371,6,1.0,2.0,4.0,3.5714285714285716,4.0,5.25,2011,1,3,0
22379,5,5.0,25.0,16.0,16.571428571428573,62.642857142857146,44.535714285714285,2011,1,3,0
22382,6,3.0,14.0,15.0,19.285714285714285,39.07142857142857,27.892857142857142,2011,1,3,0
22383,17,2.0,4.0,34.0,53.42857142857143,38.92857142857143,37.357142857142854,2011,1,3,0
22386,21,34.0,25.0,45.0,51.0,64.35714285714286,48.535714285714285,2011,1,3,0
22411,6,42.0,1.0,79.0,30.0,23.857142857142858,36.607142857142854,2011,1,3,0
22423,26,32.0,83.0,92.0,62.714285714285715,53.714285714285715,78.75,2011,1,3,0
22457,26,15.0,25.0,28.0,31.857142857142858,36.142857142857146,36.142857142857146,2011,1,3,0
22467,3,8.0,2.0,9.0,26.714285714285715,25.214285714285715,32.25,2011,1,3,0
22469,197,26.0,41.0,55.0,228.57142857142858,146.21428571428572,126.25,2011,1,3,0
22470,22,28.0,1.0,15.0,199.42857142857142,108.64285714285714,90.25,2011,1,3,0
22558,16,53.0,156.0,111.0,61.285714285714285,52.214285714285715,56.5,2011,1,3,0
22629,32,31.0,15.0,27.0,83.85714285714286,62.214285714285715,54.5,2011,1,3,0
22630,32,7.0,4.0,101.0,71.0,40.285714285714285,36.392857142857146,2011,1,3,0
22666,29,10.0,22.0,4.0,15.714285714285714,13.857142857142858,19.428571428571427,2011,1,3,0
22667,8,6.0,7.0,13.0,10.0,9.0,12.357142857142858,2011,1,3,0
22697,11,7.0,18.0,15.0,11.142857142857142,16.714285714285715,19.821428571428573,2011,1,3,0
22726,7,42.0,9.0,51.0,13.714285714285714,14.071428571428571,21.928571428571427,2011,1,3,0
22727,6,9.0,25.0,51.0,9.428571428571429,14.142857142857142,18.392857142857142,2011,1,3,0
22728,7,24.0,8.0,4.0,7.714285714285714,8.071428571428571,13.178571428571429,2011,1,3,0
22766,3,17.0,4.0,1.0,22.0,15.214285714285714,11.821428571428571,2011,1,3,0
22795,5,4.0,11.0,5.0,5.714285714285714,4.857142857142857,8.035714285714286,2011,1,3,0
22804,58,18.0,4.0,9.0,9.142857142857142,9.5,10.714285714285714,2011,1,3,0
22834,17,30.0,168.0,28.0,49.0,70.85714285714286,144.39285714285714,2011,1,3,0
22900,204,9.0,7.0,2.0,8.428571428571429,7.071428571428571,11.821428571428571,2011,1,3,0
22960,35,16.0,12.0,13.0,29.571428571428573,21.214285714285715,27.142857142857142,2011,1,3,0
22961,104,24.0,92.0,20.0,101.0,68.78571428571429,76.67857142857143,2011,1,3,0
22969,84,12.0,127.0,190.0,32.714285714285715,33.92857142857143,52.92857142857143,2011,1,3,0
22988,19,24.0,18.0,19.0,22.857142857142858,26.214285714285715,44.964285714285715,2011,1,3,0
48138,2,13.0,13.0,3.0,8.0,5.785714285714286,9.75,2011,1,3,0
70006,3,42.0,37.0,2.0,32.42857142857143,54.07142857142857,48.57142857142857,2011,1,3,0
79321,34,72.0,24.0,56.0,41.285714285714285,85.14285714285714,86.53571428571429,2011,1,3,0
82483,6,3.0,13.0,11.0,6.142857142857143,9.5,13.964285714285714,2011,1,3,0
82494L,14,26.0,20.0,98.0,18.571428571428573,21.142857142857142,29.964285714285715,2011,1,3,0
84029G,8,1.0,96.0,47.0,14.571428571428571,32.642857142857146,43.32142857142857,2011,1,3,0
